Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
Bachelor Project Mathematics;X_400581;12 EC;P4+5+6;400;English;Faculty of Science;L.E. Toussaint;L.E. Toussaint;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_400581;;;;;;;;;
Bachelorproject MNW;XB_0139;18 EC;Ac. Year (September);300;Dutch;Faculty of Science;P.M. Kraus;P.M. Kraus;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;Het bachelorproject wordt individueel verricht en is bedoeld als afsluiting van de bachelorstudie Medische Natuurwetenschappen. De invulling verschilt per student en per onderzoeksgroep en wordt bepaald in overeenstemming met de begeleider. Een student kan daarvoor een keuze maken uit onderwerpen die worden aangeboden, maar eventueel ook zelf een onderwerp voorstellen. Een literatuurstudie maakt deel uit van het project.;https://studiegids.vu.nl/en/courses/2024-2025/XB_0139;;;;;;;;;
Bachelorproject MNW;XB_0138;12 EC;Ac. Year (September);300;Dutch;Faculty of Science;P.M. Kraus;P.M. Kraus;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;Het bachelorproject wordt individueel verricht en is bedoeld als afsluiting van de bachelorstudie Medische Natuurwetenschappen. De invulling verschilt per student en per onderzoeksgroep en wordt bepaald in overeenstemming met de begeleider. Een student kan daarvoor een keuze maken uit onderwerpen die worden aangeboden, maar eventueel ook zelf een onderwerp voorstellen. Een literatuurstudie maakt deel uit van het project.;https://studiegids.vu.nl/en/courses/2024-2025/XB_0138;;;;;;;;;
Bachelor Thesis;R_B2scriptie;6 EC;P5+6;300;Dutch;Faculty of Law;dr. mr. M.C.M. Geuskens;dr. mr. M.C.M. Geuskens;;NA;Om studenten voor te bereiden op het onderzoeks- en schrijfproces worden direct na aanvang van het vak een aantal colleges en een bibliotheekpracticum aangeboden. Lopende het traject zijn er online schrijflabs.;https://studiegids.vu.nl/en/courses/2024-2025/R_B2scriptie;;;;;;;;;
Bachelor Thesis;R_B.scriptie;6 EC;P2+3;300;Dutch;Faculty of Law;dr. mr. M.C.M. Geuskens;dr. mr. M.C.M. Geuskens;;NA;Om studenten voor te bereiden op het onderzoeks- en schrijfproces worden;https://studiegids.vu.nl/en/courses/2024-2025/R_B.scriptie;;;;;;;;;
Bachelor thesis (intensified track);R_B.scrH;3 EC;Ac. Year (September);300;Dutch;Faculty of Law;prof. dr. mr. H. de Jong;prof. dr. mr. H. de Jong;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_B.scrH;;;;;;;;;
Bachelor Thesis Archaeology;L_AABAARCSCR;12 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. J.G. Aarts;dr. J.G. Aarts;;Studenten moeten alle verplichte vakken van het eerste jaar en het tweede jaar hebben afgerond.;De bachelorscriptie vormt de afronding van de bacheloropleiding. Hierin;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAARCSCR;;;;;;;;;
Bachelor Thesis Colloquium Communication and Information Studies;L_AABACIWCOL;3 EC;P4+5+6;300;Dutch;Faculty of Humanities;dr. E.M. Hoey;dr. E.M. Hoey;;Students must have passed all courses of the first and second year and must be concurrently enrolled in the thesis  course.;The thesis colloquium runs parallel to the thesis track. All third-year CIS students jointly organize an academic symposium in which they present the results of their thesis research to each other, to the lecturers and to other invited guests. The symposium forms the conclusion of the bachelor's study in CIS.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABACIWCOL;;;;;;;;;
Bachelor Thesis Colloquium Literature and Society Dutch;L_NABALESCOL;3 EC;P4+5+6;300;Dutch;Faculty of Humanities;dr. J. Grave;dr. J. Grave;;NA;In de bachelorscriptie leveren studenten het bewijs dat zij zelfstandig een onderzoeksvraag kunnen beantwoorden met behulp van de kennis en technieken die zij tijdens de bachelorcolleges hebben aangeleerd. In het colloquium komen de volgende aspecten aan bod: het leren formuleren van een onderzoeksvraag, het leren inbedden van de onderzoeksvraag in de wetenschappelijke discussie, een korte reflectie op de bibliografie. Uiteraard is er ook aandacht voor de schrijfvaardigheidscomponent. Desgewenst wordt geoefend met het houden van een presentatie. De cursus is onderzoeksgebonden.;https://studiegids.vu.nl/en/courses/2024-2025/L_NABALESCOL;;;;;;;;;
Bachelor Thesis Communication and Information Studies;L_AABACIWSCR;9 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. E.M. Hoey;;;Third year students must have passed all courses of the first and second year. Premaster students must have participated in the courses of the first semester of their premaster trajectory.;In a bachelor's thesis workgroup (minimally 2 and maximally 15) students will write an individual thesis under supervision of one or two lecturers, on a predetermined topic. For each specialisation, one or two topics may be offered.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABACIWSCR;;;;;;;;;
Bachelor Thesis Philosophy;W_BASCR;12 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. A.C.M. Roothaan;dr. A.C.M. Roothaan;;Het gehele 1e jaar en 48 EC uit het 2e jaar dienen te zijn afgerond.;NA;https://studiegids.vu.nl/en/courses/2024-2025/W_BASCR;;;;;;;;;
Bachelor Thesis History;L_GABAGESSCR;9 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. L.M. Poy López;;;Voor het schrijven van de bachelorscriptie is deelname aan het Bachelorscriptie Colloquium Geschiedenis (L_GABAGESCOL) verplicht. Aan de scriptie kan worden begonnen in het derde jaar; alle modules uit het eerste en tweede jaar moeten zijn afgerond.;Studenten kiezen zelf een onderwerp en hebben daarbij een grote vrijheid, zolang het vanuit de expertise van de staf begeleid kan worden. Het thema van de scriptie wordt in overleg tussen de student en de begeleidende docent nader vastgesteld. Aansluiting bij lopend onderzoek van docenten is mogelijk. Zie daarvoor de persoonlijke websites van de staf (research.vu.nl). Een BA-scriptie bevat een goede verwoording van de stand van zaken met betrekking tot het onderwerp in de scriptie (status quaestionis) en is mede gebaseerd op het onderzoek van een afgebakende set literatuur, eventueel aangevuld met primaire bronnen. Zie verder de BA-scriptiehandleiding in Canvas.;https://studiegids.vu.nl/en/courses/2024-2025/L_GABAGESSCR;;;;;;;;
Bachelor Thesis Greek and Latin Languages and Cultures;L_AABAGLTSCR;12 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. R. Risselada;;;Studenten moeten alle verplichte vakken van het eerste jaar en het tweede jaar hebben afgerond.;De bachelorscriptie vormt de afronding van de bacheloropleiding. Hierin;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAGLTSCR;;;;;;;;;
Bachelor scriptie OU;R_OUscriptie;5 EC;Ac. Year (September);300;Dutch;dr. mr. C.B.P. Mahe;dr. mr. C.B.P. Mahe;dr. mr. C.B.P. Mahe;Open course;Ingangseis: 45 EC aan vakken Schakelzone Recht Vrije Universiteit van de Open Universiteit.;Het bachelor scriptie-traject houdt in het schriftelijk vastleggen van de uitkomst van een rechtswetenschappelijk onderzoek over een privaatrechtelijk onderwerp.;https://studiegids.vu.nl/en/courses/2024-2025/R_OUscriptie;;;;;;;;;
Bachelor Thesis Ancient Studies;L_AABAOHWSCR;12 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;prof. dr. J.P. Crielaard;;;Studenten moeten alle verplichte vakken van het eerste jaar en het tweede jaar hebben afgerond.;De bachelorscriptie vormt de afronding van de bacheloropleiding. Hierin;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAOHWSCR;;;;;;;;;
Bachelor Seminar: Philosophical Encounters III;W_BA_SEMN;6 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. A.C.M. Roothaan;dr. A.C.M. Roothaan;;NA;In interactieve bijeenkomsten en opdrachten die je zelf doet doe je meer kennis en vaardigheden op over academisch, filosofisch schrijven in het algemeen, en specifiek gericht op het schrijven van de bachelor scriptie. Studenten zijn ook in staat om de maatschappelijke relevantie van hun scriptie te begrijpen en hebben het vermogen om aan wetenschappelijke en publieke debatten deel te nemen.;https://studiegids.vu.nl/en/courses/2024-2025/W_BA_SEMN;;;;;;;;;
Bachelor Seminar: Phil. Encounters II;W_BA_BSEM2;0 EC;Ac. Year (September);200;English;Faculty of Humanities;dr. J.S. de Boer;dr. J.S. de Boer;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/W_BA_BSEM2;;;;;;;;;
Bachelor Seminar: Philosophical Encounters I;W_BA_BSEM;0 EC;Ac. Year (September);100;English;Faculty of Humanities;dr. J.S. de Boer;dr. J.S. de Boer;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/W_BA_BSEM;;;;;;;;;
Bachelor Seminar: Philosophical Encounters III;W_BA_BSEM3;6 EC;Ac. Year (September);300;English;Faculty of Humanities;dr. A.C.M. Roothaan;dr. A.C.M. Roothaan;;NA;In interactive sessions and assignments that you do on your own, you will attain more knowledge and skills of academic, philosophical writing in general, and specifically directed to writing the bachelor thesis.Students are also able to understand the social relevance of their thesis and have the ability to contribute to scientific and public debates.;https://studiegids.vu.nl/en/courses/2024-2025/W_BA_BSEM3;;;;;;;;;
Bachelor's Project Anthropology;S_BPAE;18 EC;P4+5;300;Dutch / English;Faculty of Social Sciences;W.B. de Jong MSc;W.B. de Jong MSc;;Participation in the bachelor project is only possible after obtaining at least 90 EC from the first and second year of the bachelor's program Cultural Anthropology and Development Sociology.;Students test their aptitude by integrating previously acquired knowledge, skills and attitudes into a thesis. Students choose a specific theme in a regional field, study scientific literature, formulate a problem definition, set up and carry out ethnographic research and report on this in their thesis.;https://studiegids.vu.nl/en/courses/2024-2025/S_BPAE;;;;;;;;;
Bachelor Work Placement Communication and Information Studies;L_NCBACIWSTA;12 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. F. van der Houwen;;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_NCBACIWSTA;;;;;;;;;
Bachelor Internship Health Sciences;AB_1071;18 EC;Ac. Year (September);300;Dutch;Faculty of Science;dr. E.T. Maas;dr. E.T. Maas;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;Voor toelating tot de Bachelorstage (derde jaar):;De wetenschappelijke bachelorstage is een belangrijk onderdeel van het derdejaars curriculum van de bacheloropleiding Gezondheidswetenschappen en betreft een onderzoeksstage. De stage heeft een studielast van 18 EC, omgerekend is dat een belasting van 3 maanden fulltime studeren. De onderzoeksstage start in de reguliere periode begin maart en eindigt eind mei/begin juni, en in uitzonderingsgevallen begin september tot eind november/begin december.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1071;;;;;;;;;
Internship Bachelor Literature and Society;L_NABALESSTA;12 EC;Ac. Year (September);300;Dutch;Faculty of Humanities;dr. P.H. Moser;;;NA;Wil je een literair festival organiseren, meedraaien op een uitgeverij, een tentoonstelling maken of optreden als schrijfcoach? Een stage is dé manier om de kennis en vaardigheden die je tot nu toe hebt opgedaan tijdens je studie in praktijk te brengen, en alvast een idee te krijgen van wat je na je studie wilt gaan doen. Je kunt een stageplaats regelen door te reageren op aangeboden stageplaatsen, of door zelf contact op te nemen met een bedrijf of een wetenschappelijke, of culturele instelling. Voorafgaand aan een stage dient in samenwerking met de stagementor (begeleider van het bedrijf/de instelling) en de stagebegeleider (docent van de opleiding) een stagecontract en een werkplan opgesteld te worden. Het contract moet worden goedgekeurd door de examencommissie. Het werkplan moet worden goedgekeurd door de stagebegeleider en opgestuurd naar de examencommissie.;https://studiegids.vu.nl/en/courses/2024-2025/L_NABALESSTA;;;;;;;;;
Bachelor's Thesis;R_ThLis;12 EC;P4+5+6;300;English;Faculty of Law;dr. J.M. Hill;dr. J.M. Hill;;Evaluation Research and;;In this course students have to demonstrate that they are able to address socially relevant legal problems in an academic way. They must be proficient in legal analysis, and they must be able to design and conduct a small-scale empirical study to complement their legal analysis. Students write an individual thesis but work in small groups of approximately five students on their empirical component. The topic of the thesis is either submitted by the students themselves (prior to the start of the course) or otherwise designated by the thesis supervisors, all of whom are experienced researchers in their own respective legal fields. The topic may therefore be drawn from a research project currently being conducted within the faculty or based on specific interests by the students. The group will formulate overarching research questions that will guide their empirical data collection, but will work on their individual research question for their specific legal analysis. Empirical data collection may include interviews, observation, surveys (based on self-designed questionnaires), document analysis or other methods of gathering quantitative and/or qualitative empirical data appropriate to this level.;https://studiegids.vu.nl/en/courses/2024-2025/R_ThLis;;;;;;;;
Bachelor's Thesis in Communication Science;S_BTcw;18 EC;P5+6;300;Dutch / English;Faculty of Social Sciences;dr. E.F. Droog;dr. E.F. Droog;;You must have passed the course Quantitative Research Methodology and obtained 90 credits in the first and second year of the bachelor program in Communication Science.;The thesis serves to complete the Bachelor's degree programme in Communication Science and constitutes an aptitude test in the formulation of a communication science problem, the independent assessment of relevant communication science literature, the writing of a research proposal, and the execution and reporting of an empirical scientific research. The research is set up and carried out in small groups, reporting is done individually.;https://studiegids.vu.nl/en/courses/2024-2025/S_BTcw;;;;;;;;;
Bachelor's Thesis Project Global Politics;S_BTPGP;18 EC;P4+5+6;300;English;Faculty of Social Sciences;drs. B. Slijper;drs. B. Slijper;;At least 90 EC obtained from the Political Science programme (excluding the elective space), including the courses Academic Skills Workshop Political Science 1 and 2.;Students can choose from themes offered by the thesis supervisors in the form of thesis projects. The projects will be announced before the Christmas break. Based on the preferences submitted, students are then assigned to one of the projects by the thesis coordinator.;https://studiegids.vu.nl/en/courses/2024-2025/S_BTPGP;;;;;;;;;
Bachelor's Thesis Project Global Politics;S_BTPMP;18 EC;P4+5+6;300;Dutch / English;Faculty of Social Sciences;drs. B. Slijper;drs. B. Slijper;;At least 90 EC obtained from the Political Science programme (excluding the elective space), including the courses Bachelorwerkgroep Politicologie 1 and 2.;Students can choose from themes offered by the thesis supervisors in the form of thesis projects. The projects will be announced before the Christmas break. Based on the preferences submitted, students are then assigned to one of the projects by the thesis coordinator.;https://studiegids.vu.nl/en/courses/2024-2025/S_BTPMP;;;;;;;;;
Bachelor thesis University Teacher Training;P_BATHPA2;12 EC;Ac. Year (September);300;Dutch;Faculty of Behavioural and Movement Sc.;ing. C.M. van Dorresteijn MSc;M.K. Camphuijsen;;Om je te kunnen intekenen voor de cursus B-these dienen alle vakken uit het eerste jaar van de Universitaire Pabo gehaald te zijn. Je schrijft je B-these in het jaar dat je verwacht af te studeren. Om te kunnen starten met de B-these moet het B-these onderzoeksvoorstel met een voldoende zijn afgerond.;De inhoud van het B-these project ligt op het onderzoeksterrein van een van de subdisciplines van de Pedagogiek. Tijdens de cursus B-these ga je;https://studiegids.vu.nl/en/courses/2024-2025/P_BATHPA2;;;;;;;;;
Bachelorthesis;M_BBT16;6 EC;Semester 1;300;Dutch;Faculty of Medicine;dr. T. Pattij;dr. T. Pattij;;NA;The Bachelorthesis is a short systematic literature review (or research;https://studiegids.vu.nl/en/courses/2024-2025/M_BBT16;;;;;;;;;
Bachelor Thesis;G_BATRSCCSCR;6 EC;Ac. Year (September);300;English;Faculty of Religion and Theology;prof. dr. E. van Staalduine-Sulman;;;Research Lab: Preparation Thesis (G_BATRSCC301);Analysis of a problem or phenomenon in the field of theology and/or religious studies, resulting in a Bachelor's thesis.;https://studiegids.vu.nl/en/courses/2024-2025/G_BATRSCCSCR;;;;;;;;;
Bachelor Thesis Earth Sciences, Economics and Sustainability;AB_450254;12 EC;P5+6;300;Dutch;Faculty of Science;dr. M.B.M. Lankhuizen MSc;dr. M.B.M. Lankhuizen MSc;;Voor de bachelorthesis geldt, dat aan de volgende facultaire toelatingseisen moet zijn voldaan:;Je bachelorscriptie is het eindwerkstuk van je bacheloropleiding. Hierin laat je zien dat je in staat bent zelfstandig een concreet probleem te beschrijven, te analyseren, te verklaren en te presenteren. Hierbij maak je gebruik van relevante wetenschappelijke literatuur en de kennis en vaardigheden die je in de drie bachelorjaren hebt opgedaan.;https://studiegids.vu.nl/en/courses/2024-2025/AB_450254;;;;;;;;;
Bachelor Thesis Earth Sciences;AB_1096;18 EC;Ac. Year (September);300;Dutch;Faculty of Science;dr. L.M.E. Percival;prof. dr. G.R. Davies;;See art. 9.1 of the OER for the BSc Earth Sciences section B:;The entire training and implementation of the thesis will be conducted;https://studiegids.vu.nl/en/courses/2024-2025/AB_1096;;;;;;;;;
Bachelor Thesis Ancient Studies;L_AABAOHESCR;12 EC;Ac. Year (September);300;English;Faculty of Humanities;prof. dr. J.P. Crielaard;;;Students must have completed all compulsory courses of the first and second years.;The bachelor's thesis is the completion of the undergraduate program. On;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAOHESCR;;;;;;;;;
Bachelor Thesis Archaeology;L_AABAARESCR;12 EC;Ac. Year (September);300;English;Faculty of Humanities;dr. J.G. Aarts;;;Students must have completed all compulsory courses of the first and second years.;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAARESCR;;;;;;;;;
Bachelor Thesis Biology;AB_1273;24 EC;Ac. Year (September);300;English;Faculty of Science;dr. M.P. Bergman;dr. M.P. Bergman;;NA;The internship has a full duration of 16 weeks full time (24 EC), but is;https://studiegids.vu.nl/en/courses/2024-2025/AB_1273;;;;;;;;;
Bachelor Thesis Biomedical Sciences - Data Analysis;AB_1295;24 EC;Ac. Year (September);300;English;Faculty of Science;dr. M.P. Bergman;dr. M.P. Bergman;;NA;From the first week onwards of this course you are in your internship department and will start learning the necessary methodological and statistical skills for the internship under the agreed supervision. You will work on your bachelor thesis project, actively participating in a scientific research program, and generate research data by building a database in order to answer a research question that meets the learning objectives of the bachelor program Biomedical Sciences.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1295;;;;;;;;;
Bachelor Thesis Biomedical Sciences - Experimental;AB_1234;24 EC;Ac. Year (September);300;English;Faculty of Science;dr. M.P. Bergman;dr. M.P. Bergman;Extra curricular course for VU students;NA;From the first week onwards of this course you are present in your internship department and will start learning the necessary practical skills for the internship under the agreed supervision. You will work on your bachelor thesis project, actively participating in a scientific research program, and generate research data by doing laboratory experiments, observational experiments, computer modelling experiments or a combination of these research methods. The experiments and results will be recorded in a laboratory journal.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1234;;;;;;;;;
Bachelor Thesis Colloquium Communication and Information Sciences;L_AABACISCOL;3 EC;P4+5+6;300;English;Faculty of Humanities;dr. E.M. Hoey;dr. E.M. Hoey;;Students must have passed all courses of the first and second year and must be concurrently enrolled in the thesis  course.;The thesis colloquium runs parallel to the thesis track. All third-year CIS students jointly organize an academic symposium in which they present the results of their thesis research to each other, to the lecturers and to other invited guests. The symposium forms the conclusion of the bachelor's study in CIS.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABACISCOL;;;;;;;;;
Bachelor Thesis Colloquium History;L_GABAGESCOL;3 EC;Ac. Year (September);300;Dutch / English;Faculty of Humanities;drs. W.C. Manuhutu;dr. L.M. Poy López;Extra curricular course for VU students;Alleen toegankelijk voor studenten die bij het begin van periode 4 alle vakken van het eerste jaar en het tweede jaar hebben afgerond (dit wordt;Opstellen van een scriptieovereenkomst en tijdplan, een status quaestionis, een inleiding en werkplan, en een posterpresentatie.;https://studiegids.vu.nl/en/courses/2024-2025/L_GABAGESCOL;;;;;;;;;
Bachelor Thesis Colloquium History and International Studies;L_GABAHISCOL;3 EC;Ac. Year (September);300;English;Faculty of Humanities;dr. L.M. Poy López;dr. L.M. Poy López;Extra curricular course for VU students;The colloquium is reserved for students who at the start of period 4 have successfully concluded all first and second year courses, and who are actually working on their Bachelor thesis. Concretely, the latter requirements means that there should have been contact between the student and the intended supervisor, and that the subject of the thesis has been chosen.;The colloquium helps students to sharpen the main question, organization and approach of the Bachelor thesis through group discussions. It also helps them manage their workflow by offering a planned schedule of (obligatory) presentations of work in progress.;https://studiegids.vu.nl/en/courses/2024-2025/L_GABAHISCOL;;;;;;;;;
Bachelor Thesis Communication and Information Studies;L_AABACISSCR;9 EC;Ac. Year (September);300;English;Faculty of Humanities;dr. E.M. Hoey;;;Third year BA students must have passed all courses of the first and second year. Pre-master's students must have completed (or have to be attending) the courses of the first semester.;Within a BA thesis group of 2-15 students, students conduct research and write an individual thesis under the supervision of one or two lecturers about a predetermined topic. Each specialisation offers one or two topics. In period 3, an information meeting will be scheduled about the BA thesis.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABACISSCR;;;;;;;;;
Bachelor Thesis History and International Studies;L_GABAHISSCR;9 EC;Ac. Year (September);300;English;Faculty of Humanities;dr. L.M. Poy López;;;For writing the BA-thesis, participation in the Bachelor Thesis Colloquium is mandatory. Students can start with their thesis in the third year of the BA-programme. At the start of the second semester, all courses of the first and second year have to be completed. This will be checked.;Students are encouraged to choose their own thesis topic, as long as it is covered by the expertise of the teaching staff. The precise theme and subject of the BA thesis is decided by the student and supervisor together. It can be connected to ongoing research of the supervisor, if student and supervisor agree on that. See also the personal webpages of the staff members (research.vu.nl) to read more about their expertise. A BA thesis has a solid section on the state of the art (historiography) concerning the subject (status quaestionis) and is based on literature, and if necessary for the research, primary sources. See also the BA thesis guide available on the Canvas site of the thesis colloquium.;https://studiegids.vu.nl/en/courses/2024-2025/L_GABAHISSCR;;;;;;;;;
Bachelor Thesis Literature and Society English;L_ELBALESSCR;12 EC;Ac. Year (September);300;English;Faculty of Humanities;prof. dr. D.M. Oostdijk;;;The Bachelor’s thesis trajectory is offered twice per academic year: (i) once in the Spring semester (the regular trajectory); and (ii) once in the Fall semester (for students who failed their thesis in the previous academic year). (i) The entry requirement for the Spring trajectory is: successful completion of all year 1 and;The thesis trajectory consists of two phases: (1) preparation and (2) writing. (1) During the preparation phase, students work in peer groups on the delineation of their thesis topic. This results in an individual thesis proposal. Based on the proposal, an individual supervisor is assigned. (2) During the writing phase, students meet with their supervisor for one-on-one feedback sessions on their written work. The outcome of the trajectory is a thesis of 7,000 to 10,000 words.;https://studiegids.vu.nl/en/courses/2024-2025/L_ELBALESSCR;;;;;;;;
Bachelor Thesis Media, Art, Design and Architecture;L_AABAMKASCR;12 EC;Ac. Year (September);300;Dutch / English;Faculty of Humanities;dr. S. Scholz;;;In order to begin the thesis process, third-year;The BA thesis is a proof of the achieved skill level for year 3 (300) regarding content and theory;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAMKASCR;;;;;;;;;
Bachelor's Thesis Project National Politics and Governance;S_BTPNPB;18 EC;P4+5+6;300;Dutch;Faculty of Social Sciences;drs. B. Slijper;drs. B. Slijper;;Tenminste 90 EC behaald uit het programma Politicologie (excl. keuzeruimte), waaronder de vakken Bachelorwerkgroep Politicologie 1 and 2.;Studenten kunnen kiezen uit de door de thesisbegeleiders aangeboden thema's in de vorm van thesisprojecten. Deze worden in de loop van periode 4 bekend gemaakt. Op basis van de opgegeven voorkeuren worden de studenten vervolgens ingedeeld bij één van de projecten door de thesiscoördinator.;https://studiegids.vu.nl/en/courses/2024-2025/S_BTPNPB;;;;;;;;;
Bachelor's Thesis Project in Sociology;S_BTPS;18 EC;P5+6;300;Dutch;Faculty of Social Sciences;drs. J.A. Pach;drs. J.A. Pach;;Succesvolle afronding van 90 EC aan verplichte vakken uit jaar 1 en 2 van de bachelor Sociologie en actieve deelname aan de cursus Onderzoek naar effecten van interventies (S_OEI).;Het Bachelorthesisproject Sociologie vormt het sluitstuk van de bacheloropleiding Sociologie. Je gaat kennis, inzichten en vaardigheden die je in de loop van de bachelor hebt verworven toepassen in een individuele thesis, onder begeleiding van een docent. In het Bachelorthesisproject voer je onder begeleiding zelfstandig een onderzoek uit, dat resulteert in een thesis. Om te komen tot een beantwoording van de onderzoeksvraag stel je een eigen onderzoeksplan en theoretisch kader op. Startpunt voor de thesis vormt een maatschappelijk en/of wetenschappelijk vraagstuk. De thesis is daardoor niet alleen een proeve van bekwaamheid, maar je levert hiermee ook echt een bijdrage aan de samenleving en/of de wetenschap. De thesis is altijd gebaseerd op de analyse van empirische data, die door de begeleider ter beschikking worden gesteld (je verzamelt dus niet zelf data). Data kunnen, afhankelijk van het gekozen onderwerp, zowel kwalitatief als kwantitatief zijn.;https://studiegids.vu.nl/en/courses/2024-2025/S_BTPS;;;;;;;;;
Bachelor's Tutorial in Anthropology;S_BWGA;6 EC;P1;100;Dutch;Faculty of Social Sciences;dr. A. Smienk;dr. A. Smienk;;NA;In een serie opdrachten met oplopende moeilijkheidsgraad oefenen;https://studiegids.vu.nl/en/courses/2024-2025/S_BWGA;;;;;;;;;
Bachelor's Tutorial in Political Science 1;S_BWpol1;6 EC;P1;100;Dutch;Faculty of Social Sciences;mr. G.P. Luteijn MA;mr. G.P. Luteijn MA;;NA;De nadruk binnen dit vak ligt op het ontwikkelen van academische vaardigheden. Middels  leesopdrachten, schrijfopdrachten, debatten en groepspresentaties leren studenten hoe een academische tekst is opgebouwd, hoe concepten de bouwstenen vormen van theorieën en hoe ze argumenten kunnen aandragen voor een bepaalde theoretische stellingnames.;https://studiegids.vu.nl/en/courses/2024-2025/S_BWpol1;;;;;;;;;
Bachelor's Tutorial in Political Science 2;S_BWpol2;6 EC;P2+3;100;Dutch;Faculty of Social Sciences;mr. G.P. Luteijn MA;mr. G.P. Luteijn MA;;NA;De nadruk van deze cursus ligt op het ontwikkelen van academische vaardigheden. Door middel van leesopdrachten, schrijfopdrachten, debatten en discussies in de klas leer je hoe een academische tekst is opgebouwd, hoe concepten de bouwstenen vormen van theorieën en hoe je argumenten kunt presenteren voor een bepaalde theoretische positie. Verder bestaat de cursus uit verschillende schrijfworkshops waarin wordt uitgelegd hoe je diverse bronnen parafraseert en citeert en hoe je een academische puzzel formuleert.;https://studiegids.vu.nl/en/courses/2024-2025/S_BWpol2;;;;;;;;;
Bachelor Work Placement Media, Art, Design and Architecture;L_AABAMKDSTA;12 EC;Ac. Year (September);300;Dutch / English;Faculty of Humanities;prof. dr. K. Kwastek;;Extra curricular course for VU students;See Teaching and Exam Reguations (TER) MKDA;The placement is part of the electives students can chose in the first semester of year 3.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAMKDSTA;;;;;;;;;
Banking and FinTech;E_FIN_BFINT;6 EC;P2;400;English;School of Business and Economics;X. Zhang;X. Zhang;Secondary subject for non-VU students;Admission to the MSc Finance: Honours Programme Finance and Technology;Banks play a key role in the modern society and have come to dominate financial markets. However, their reach is not universal and their dominance not unchallenged, especially since the advent of the FinTech industry, which has hit at the core business of large banks through its disruptive combination of online platform, big data, and crowdfunding. This course covers both the traditional banking model and the new FinTech model, and includes the following six topics:;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_BFINT;;;;;;;;;
Bascs of Prosthodontics;T_2IBPROST;6 EC;Ac. Year (September);500;English;ACTA;dr. J.P. Mendes Tribst DDS;dr. J.P. Mendes Tribst DDS;;#NAME?;#NAME?;https://studiegids.vu.nl/en/courses/2024-2025/T_2IBPROST;;;;;;;;;
Basic Concepts in Endodontology;T_1EBASENDO;6 EC;Ac. Year (September),;600;English;ACTA;dr. mr. J.F. Brochado Martins MSc;dr. H. Shemesh;;NA;This course is meant to cover topics related to all steps of endodontic treatment from diagnosis to the completion of the treatment, and follow-up. It aims to broaden and deepen the students’ understanding of endodontic disease processes, relevant diagnostic methods and reasoning, as well as different clinical procedures to improve their problem-solving skills, taking the nature and individual characteristics of the patient into account. During this course, special attention will be paid to the integration of this understanding to clinical decision-making.;https://studiegids.vu.nl/en/courses/2024-2025/T_1EBASENDO;;;;;;;;;
Basic Concepts in Mathematics;X_401104;6 EC;P1;100;English;Faculty of Science;prof. dr. B.W. Rink;prof. dr. B.W. Rink;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;This course is all about essential notions and techniques in mathematics. You will learn about, and work with, things like sets, logic, counting, relations, functions and cardinality, but we will spend at least as much time on various techniques for proving mathematical statements, including direct and contrapositive proof, and proof by contradiction and induction. We will also teach you how to write down mathematical arguments properly.;https://studiegids.vu.nl/en/courses/2024-2025/X_401104;;;;;;;;;
